ProductID,Product,BrandName,Category,Color,Style,Size,Product Description
1,Sweatshirt,Flying Machine,Women,Red,Stripped,L,A red sweatshirt with a stripped design in size L.
2,Sweatshirt,Myntra,Men,Red,Checked,M,A red sweatshirt with a checked design in size M.
3,T-Shirt,Puma,Men,White,Stripped,L,A white t-shirt with a stripped design in size L.
4,Sweatshirt,Myntra,Men,Black,Checked,M,A black sweatshirt with a checked design in size M.
5,Shirt,Wrangler ,Kids,Blue,Checked,XXL,A blue shirt with a checked design in size XXL.
6,Sweatshirt,Scullers,Kids,Red,Printed,XXL,A red sweatshirt with a printed design in size XXL.
7,Sweatshirt,Benetton,Men,White,Stripped,S,A white sweatshirt with a stripped design in size S.
8,Shirt,Lee ,Women,White,Stripped,M,A white shirt with a stripped design in size M.
9,Shirt,Highlander ,Women,Green,Printed,XXL,A green shirt with a printed design in size XXL.
10,Sweatshirt,Benetton,Men,Green,Printed,XL,A green sweatshirt with a printed design in size XL.
11,Shirt,Myntra,Kids,Red,Stripped,M,A red shirt with a stripped design in size M.
12,Shirt,Myntra,Women,Blue,Checked,XXL,A blue shirt with a checked design in size XXL.
13,T-Shirt,Highlander ,Women,Red,Checked,XL,A red t-shirt with a checked design in size XL.
14,Shirt,Scullers,Men,Blue,Checked,S,A blue shirt with a checked design in size S.
15,T-Shirt,Flying Machine,Women,Black,Checked,XL,A black t-shirt with a checked design in size XL.
16,Sweatshirt,Lee ,Men,White,Printed,M,A white sweatshirt with a printed design in size M.
17,T-Shirt,Myntra,Women,Blue,Printed,XL,A blue t-shirt with a printed design in size XL.
18,T-Shirt,Scullers,Men,Green,Checked,S,A green t-shirt with a checked design in size S.
19,T-Shirt,Lee ,Men,Black,Stripped,M,A black t-shirt with a stripped design in size M.
20,T-Shirt,Scullers,Women,White,Printed,L,A white t-shirt with a printed design in size L.
21,Sweatshirt,Scullers,Women,Green,Checked,L,A green sweatshirt with a checked design in size L.
22,T-Shirt,Puma,Men,Green,Checked,S,A green t-shirt with a checked design in size S.
23,Sweatshirt,Scullers,Women,White,Stripped,XL,A white sweatshirt with a stripped design in size XL.
24,Sweatshirt,Myntra,Men,Red,Checked,XXL,A red sweatshirt with a checked design in size XXL.
25,Shirt,Myntra,Women,White,Printed,XL,A white shirt with a printed design in size XL.
26,T-Shirt,Highlander ,Men,Green,Stripped,L,A green t-shirt with a stripped design in size L.
27,T-Shirt,Highlander ,Women,Red,Stripped,M,A red t-shirt with a stripped design in size M.
28,Shirt,Wrangler ,Women,White,Checked,XL,A white shirt with a checked design in size XL.
29,Shirt,Puma,Men,Blue,Checked,XXL,A blue shirt with a checked design in size XXL.
30,T-Shirt,Wrangler ,Men,White,Printed,L,A white t-shirt with a printed design in size L.
31,Shirt,Wrangler ,Men,Blue,Checked,M,A blue shirt with a checked design in size M.
32,T-Shirt,Highlander ,Men,White,Printed,M,A white t-shirt with a printed design in size M.
33,Shirt,Scullers,Kids,Green,Checked,XL,A green shirt with a checked design in size XL.
34,T-Shirt,Benetton,Men,Green,Stripped,XL,A green t-shirt with a stripped design in size XL.
35,T-Shirt,Myntra,Women,Red,Checked,S,A red t-shirt with a checked design in size S.
36,Sweatshirt,Myntra,Kids,White,Stripped,XXL,A white sweatshirt with a stripped design in size XXL.
37,Shirt,Lee ,Men,Red,Stripped,S,A red shirt with a stripped design in size S.
38,Sweatshirt,Scullers,Men,White,Checked,XXL,A white sweatshirt with a checked design in size XXL.
39,T-Shirt,Highlander ,Men,Red,Printed,S,A red t-shirt with a printed design in size S.
40,Shirt,Flying Machine,Kids,Red,Stripped,L,A red shirt with a stripped design in size L.
41,T-Shirt,Puma,Women,Green,Checked,M,A green t-shirt with a checked design in size M.
42,T-Shirt,Myntra,Men,Blue,Printed,S,A blue t-shirt with a printed design in size S.
